sales_date,transaction_id,user_id,sku,product_name,size,colour,amount,store_id,region,original_transaction_id,transaction_type
2024-10-01,RTXN00001026,USER000751,LM-ROL-012,Aromatherapy Roller,100ml,Unscented,22,STUDIO043,EU,,sale
2024-10-01,RTXN00001872,USER001372,LM-SOK-006,Muscle Soak Salts,Travel Size,Lavender Calm,32,STUDIO043,NA,,sale
2024-10-01,RTXN00001989,USER001453,LM-ROL-012,Aromatherapy Roller,50ml,Eucalyptus Fresh,22,STUDIO031,EU,,sale
2024-10-02,RTXN00000115,USER000086,LM-WSH-007,Adaptogen Body Wash,50ml,Lavender Calm,36,STUDIO011,NA,,sale
2024-10-02,RTXN00000213,USER000160,LM-SPF-002,SPF 50 Face Stick,50ml,Unscented,28,STUDIO042,EU,,sale
2024-10-02,RTXN00000606,USER000447,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Eucalyptus Fresh,42,STUDIO019,EU,,sale
2024-10-02,RTXN00000620,USER000457,LM-MST-005,Cooling Mist Spray,Standard,Rose Comfort,26,STUDIO001,EU,,sale
2024-10-02,RTXN00000621,USER000458,LM-KIT-009,PMS Comfort Kit,50ml,Unscented,65,STUDIO031,EU,,sale
2024-10-02,RTXN00000680,USER000500,LM-SOK-006,Muscle Soak Salts,100ml,Unscented,32,STUDIO003,NA,,sale
2024-10-02,RTXN00000706,USER000518,LM-CAN-010,Ritual Grounding Candle,100ml,Eucalyptus Fresh,38,STUDIO023,EU,,sale
2024-10-02,RTXN00000819,USER000596,LM-SOK-006,Muscle Soak Salts,50ml,Lavender Calm,32,STUDIO041,NA,,sale
2024-10-02,RTXN00000974,USER000710,LM-SPF-002,SPF 50 Face Stick,Travel Size,Citrus Energy,28,STUDIO020,NA,,sale
2024-10-02,RTXN00001742,USER001277,LM-SOK-006,Muscle Soak Salts,Travel Size,Lavender Calm,32,STUDIO014,EU,,sale
2024-10-02,RTXN00001764,USER001293,LM-SOK-006,Muscle Soak Salts,Travel Size,Unscented,32,STUDIO018,NA,,sale
2024-10-02,RTXN00001852,USER001359,LM-MST-005,Cooling Mist Spray,50ml,Unscented,26,STUDIO048,NA,,sale
2024-10-02,RTXN00001915,USER001404,LM-ROL-012,Aromatherapy Roller,100ml,Lavender Calm,22,STUDIO008,NA,,sale
2024-10-02,RTXN00002078,USER001519,LM-DEO-001,Clean Deodorant Stick,100ml,Rose Comfort,24,STUDIO021,EU,,sale
2024-10-02,RTXN00002198,USER001607,LM-CLO-003,Cleansing Body Cloths,50ml,Eucalyptus Fresh,18,STUDIO027,NA,,sale
2024-10-02,RTXN00002424,USER001775,LM-SOK-006,Muscle Soak Salts,200ml,Rose Comfort,32,STUDIO003,NA,,sale
2024-10-02,RTXN00002584,USER001886,LM-MST-005,Cooling Mist Spray,50ml,Lavender Calm,26,STUDIO004,NA,,sale
2024-10-02,RTXN00002592,USER001892,LM-SOK-006,Muscle Soak Salts,50ml,Citrus Energy,32,STUDIO042,EU,,sale
2024-10-02,RTXN00002813,USER002040,LM-KIT-009,PMS Comfort Kit,Standard,Unscented,65,STUDIO016,NA,,sale
2024-10-02,RTXN00003142,USER002272,LM-WSH-007,Adaptogen Body Wash,Standard,Unscented,36,STUDIO016,NA,,sale
2024-10-03,RTXN00000130,USER000099,LM-WSH-007,Adaptogen Body Wash,Travel Size,Rose Comfort,36,STUDIO039,EU,,sale
2024-10-03,RTXN00000472,USER000353,LM-ROL-012,Aromatherapy Roller,Travel Size,Eucalyptus Fresh,22,STUDIO002,NA,,sale
2024-10-03,RTXN00000674,USER000496,LM-CLO-003,Cleansing Body Cloths,Travel Size,Eucalyptus Fresh,18,STUDIO046,NA,,sale
2024-10-03,RTXN00001048,USER000766,LM-MST-005,Cooling Mist Spray,100ml,Lavender Calm,26,STUDIO028,NA,,sale
2024-10-03,RTXN00001167,USER000853,LM-JRN-011,Movement Journal,100ml,Eucalyptus Fresh,24,STUDIO038,EU,,sale
2024-10-03,RTXN00001256,USER000920,LM-MAG-004,Magnesium Recovery Balm,Standard,Citrus Energy,42,STUDIO049,EU,,sale
